linea;sublinea;subgrupo;subgrup2;nombre;refer;codigo;nomprov;q_fin;s_fin;qventa;valoriz1;marca;nomb_marca;talla;refabrica;cod_ref;pvta1i
01;;;;ACCESORIO BICICLETA HJ-031 120 CHINA;HJ-031 120 CHINA;02949;;1;10900;0;0;01;PRINCIPAL;;;;15000
01;;;;ACCESORIO BICICLETA INFLADOR 100 CHINA;100 CHINA;02950;;1;18200;0;0;01;PRINCIPAL;;;;25000
01;;;;ALMOHADA PUMARON;;04026;;1;31933;0;0;0310;JUANCHO;;;;50000
01;;;;ALTAVOZ BLUETOOTH K13;K13;00018;;1;34235,92;0;0;01;PRINCIPAL;;;;55000
01;;;;ASADERA RECTANGULAR ATA NRO4;;01198;;3;75630,24;0;0;01;PRINCIPAL;;;;42000
01;;;;ASADOR AREPAS ALAMBRE 247;247;00036;;3;7743,09;0;0;01;PRINCIPAL;;;;4300
01;;;;ASATODO VERDE SUECO;;02488;;1;75030,01;0;0;0251;SUECO;;;;125000
01;;;;ASIENTO PLASTICO PARA SILLA KARLA JUANCHO;;10292;;2;20000;0;0;0310;JUANCHO;;;;22000
01;;;;BASE CRUCERA NEGRA MJYD;BCNG;10289;;2;140000;0;0;0574;MJYD;;;;120000
01;;;;BATIDORA EN ACERO No 1;;01226;;2;10204,08;0;0;01;PRINCIPAL;;;;8500
01;;;;BAÑERA VIP ESTAMPADA 10120 VANYPLAS;10120 VANYPLAS;00759;;1;19607,84;0;0;0120;VANYPLAS;;;;35000
01;;;;BEBEDERO AUTOMATICO 250 LITROS + KIT POLINTER;;05375;;10;1214100;0;0;0440;POLINTER;;;;190000
01;;;;BICICLETA TODO TERRENO K44 FRENO SHIMANO AZ SUEH;K44;05004;;2;1352074,071;1;0;0427;SUEH;;;;910000
01;;;;BOMBILLO LED 50W K-BLEDHP50C KALLEY;K-BLEDHP50C;04877;;4;108480;0;0;0011;KALLEY;;;;48000
01;;;;BOMBILLO LUZ BLANCA AHORRADOR DE ENERGIA 18W INFINITA;;03929;;2;15000;0;0;0372;INFINITA;;;;17000
01;;;;BOTA CUERO NO BUCK ORO;;04046;;5;238950;0;0;0310;JUANCHO;;;;70000
01;;;;BOTA FALKOR N°39  NEGRO WORKMAN;N°39;07372;;1;67983;0;0;0310;JUANCHO;;;;120000
01;;;;BOTA FALKOR N°42  NEGRO WORKMAN;N°42;07373;;1;67983;0;0;0310;JUANCHO;;;;120000
01;;;;BOTA NOBUCK CHOCOLATE GRULLA;NOBUCK;05351;;2;102366;0;0;0438;GRULLA;;;;95000
01;;;;BOTAS 38-43 PARA DOTACION IMPERIO;38-43;09817;;5;381935;0;0;0720;IMPERIO;;;;130000
01;;;;BOTAS BAJA MACHA;;03927;;1;19496;0;0;0371;MACHA;39;;;35000
01;;;;BOTELLON 1 LITRO 620556 PLINZA;620556 PLINZA;00123;;1;3460;0;0;0171;PLINZA;;;;7500
01;;;;BUTAQUITO PLEGABLE AZUL 180307 VANYPLAS;180307 VANYPLAS;00818;;1;22238,2129;3;0;0120;VANYPLAS;;;;39000
01;;;;BUTAQUITO PLEGABLE PLATA 180308 VANYPLAS;180308 VANYPLAS;01761;;1;13725,49;0;0;0120;VANYPLAS;;;;24500
01;;;;CALCULADORA MX-12B 100 CASIO;.MX-12B;03972;;4;64000;0;0;0376;CASIO;;;;21600
01;;;;CAMARA PARA CARRO A5 JUANCHO;A5;05819;;1;50820;0;0;0310;JUANCHO;;;;175000
01;;;;CAMARA POWER SHOT PSELPH190IS(BK) NEGRA CANON;PSELPH190IS(BK);00658;;1;448179,27;0;0;0018;CANON;;;;720000
01;;;;CAMARA SPORT WIFI ACRYLIC BLACK F60 JALTECH;F60;04561;;1;45699;0;0;0408;JALTECH;;;;75000
01;;;;CASA PARA PERROS NEGRO/TAUPE RIMAX;;04516;;1;195556;0;0;0029;RIMAX;;;;260000
01;;;;CASA PARA PERROS ROJO/TAUPE 12700 RIMAX;12700;08469;;1;188688,28;0;0;0029;RIMAX;;;;320000
01;;;;CHOCOLATERA ALUMINIOS HEXALUM;HEXALUM;01258;;1;27010,8;0;0;0075;HEXALUM;;;;45000
01;;;;CINTA ANCHA X 500MTS TRANSPRENTE JDR;;03457;;24;360806,76;0;0;0310;JUANCHO;;;;32500
01;;;;COCINETA A GAS 2 PUESTOS PIMIENTA HACEB;;04071;;3;105849;0;0;0030;HACEB;;;;58000
01;;;;COMBO PLANCHA PRO NANO TITANIO;;03429;;3;120000;0;0;0310;JUANCHO;;;;120000
01;;;;"COMPUTADOR PORTATIL 14"" A515-51-56AW ACER";A515-51-56AW;00214;;1;1176470,59;0;0;0020;ACER;;;;1890000
01;;;;COMPUTADOR PORTATIL HP245G6 4GB RAM HP;HP245G6 HP;00223;;1;617996,0567;0;0;0004;HP;;;;890000
